"ID","BaseValue","LevelIncrease","LevelIncreaseNovice","Min","Max","Floor","Exception","ExceptionLow","ExceptionHigh","ExceptionValue","NormalLevel","Type","OriginID","OutputID","RequireTool","Tools"
711,3,0.2,0,0,5,FALSE,TRUE,15,30,0,0,"VEHICLEDROP",0,5,FALSE,
712,2,-0.2,0,0,2,FALSE,FALSE,0,0,0,0,"VEHICLEDROP",0,280,FALSE,
713,0.25,0.05,0,0,1,TRUE,FALSE,0,0,0,0,"VEHICLEDROP",0,333,FALSE,
720,1.5,-0.03,-0.07,0.25,2,FALSE,FALSE,0,0,0,5,"FALLDAMAGE",0,0,FALSE,
721,0,0.5,0,0,15,TRUE,FALSE,0,0,0,0,"FALLTHRESHOLD",0,0,FALSE,
730,2,0.2,0,0,8,TRUE,FALSE,0,0,0,5,"EAT",319,0,FALSE,
731,6,0.3,0.1,0,20,TRUE,FALSE,0,0,0,5,"EAT",282,0,FALSE,
732,2,0.1,0,0,6,TRUE,FALSE,0,0,0,0,"EAT",349,0,FALSE,
740,0.95,0.02,0,0,1.5,FALSE,FALSE,0,0,0,5,"BLOCKDROP",37,37,FALSE,
741,0.95,0.02,0,0,1.5,FALSE,FALSE,0,0,0,5,"BLOCKDROP",38,38,FALSE,
750,0.02,0.04,0,0,2,FALSE,FALSE,0,0,0,0,"BLOCKDROP",52,22,FALSE,
751,0.02,0.04,0,0,2,FALSE,FALSE,0,0,0,0,"BLOCKDROP",52,41,FALSE,
752,0.01,0.02,0,0,1,FALSE,FALSE,0,0,0,0,"BLOCKDROP",52,57,FALSE,
753,0.02,0.07,0,0,2,FALSE,FALSE,0,0,0,0,"BLOCKDROP",52,42,FALSE,
810,1.2,0.15,0.15,0,7,FALSE,FALSE,0,0,0,5,"MOBDROP",0,319,TRUE,"268 272 267 283 276"
811,1.2,0.15,0.15,1,7,FALSE,FALSE,0,0,0,6,"MOBDROP",0,334,TRUE,"268 272 267 283 276"
812,1.25,0.2,0,0,6,FALSE,FALSE,0,0,0,5,"MOBDROP",0,35,TRUE,"268 272 267 283 276"
813,1,0.15,0,0,4,FALSE,FALSE,0,0,0,5,"MOBDROP",0,288,TRUE,"268 272 267 283 276"
820,1,0.15,-0.05,0,5,FALSE,FALSE,0,0,0,5,"MOBDROP",0,289,TRUE,"268 272 267 283 276"
821,1.25,0.2,-0.1,0,8,FALSE,FALSE,0,0,0,5,"MOBDROP",0,262,TRUE,"268 272 267 283 276"
822,1.25,0.2,-0.1,0,8,FALSE,FALSE,0,0,0,5,"MOBDROP",0,352,TRUE,"268 272 267 283 276"
823,1,0.15,-0.05,0,5,FALSE,FALSE,0,0,0,5,"MOBDROP",0,287,TRUE,"268 272 267 283 276"
831,1,0.07,0,0,3,TRUE,FALSE,0,0,0,5,"CRAFT",0,298,FALSE,
832,1,0.07,0,0,3,TRUE,FALSE,0,0,0,5,"CRAFT",0,299,FALSE,
833,1,0.07,0,0,3,TRUE,FALSE,0,0,0,5,"CRAFT",0,300,FALSE,
834,1,0.07,0,0,3,TRUE,FALSE,0,0,0,5,"CRAFT",0,301,FALSE,
835,0.05,0.01,0.03,0,0.5,FALSE,FALSE,0,0,0,0,"BOWDEFEND",0,0,FALSE,
841,1,0.07,0,0,3,TRUE,FALSE,0,0,0,5,"CRAFT",0,306,FALSE,
842,1,0.07,0,0,3,TRUE,FALSE,0,0,0,5,"CRAFT",0,307,FALSE,
843,1,0.07,0,0,3,TRUE,FALSE,0,0,0,5,"CRAFT",0,308,FALSE,
844,1,0.07,0,0,3,TRUE,FALSE,0,0,0,5,"CRAFT",0,309,FALSE,
845,0.05,0.05,0,0,0.9,FALSE,FALSE,0,0,0,0,"SUFFOCATEDEFEND",0,0,FALSE,
850,0,0.2,0,0,6,FALSE,TRUE,0,4,1.5,5,"MOBDROP",0,288,TRUE,"268 272 267 283 276"
851,0,0.2,0,0,8,FALSE,FALSE,0,0,0,5,"MOBDROP",0,262,TRUE,"268 272 267 283 276"
853,2.75,0.13,0.13,2,7,FALSE,FALSE,0,0,0,9,"BOWATTACK",0,0,FALSE,
861,0,0.04,0.08,0,1,FALSE,FALSE,0,0,0,0,"DROWNDEFEND",0,0,FALSE,
862,0.05,0.02,0.03,0,0.8,FALSE,FALSE,0,0,0,0,"LAVADEFEND",0,0,FALSE,
870,1.5,-0.03,-0.03,0.25,100,FALSE,FALSE,0,0,0,15,"SWORDDURABILITY",0,0,FALSE,"268 272 267 283 276"
871,0.75,0.05,0,0,100,FALSE,FALSE,0,0,0,5,"PVEDAMAGE",0,0,FALSE,"268 272 267 283 276"
872,0.38,0.03,0,0,100,FALSE,FALSE,0,0,0,25,"PVPDAMAGE",0,0,FALSE,"268 272 267 283 276"
910,3,1,0,1,16,FALSE,FALSE,0,0,0,0,"CITIZENBLOCKS",0,0,FALSE,
920,5,5,0,5,144,FALSE,FALSE,0,0,0,0,"TOWNBLOCKS",0,0,FALSE,
990,1,0.15,0,0,6,FALSE,FALSE,0,0,0,0,"BLOCKDROP",49,49,TRUE,278
